file,segment_id,sampling_rate,quality_score,is_valid,rms,peak,peak_to_peak,crest_factor,kurtosis,skewness,form_factor,impulse_factor,margin_factor,variance,mean,std
normal_0_1797.mat,0,12000.0,0.75,True,0.9999999999999999,3.9420130528135324,6.789676356412698,3.942013052813533,-0.045823807257909355,-0.13732180841741556,1.2494865139042322,4.925492147124961,5.81796207095944,1.0,3.2959746043559335e-17,1.0
normal_0_1797.mat,1,12000.0,0.88,True,1.0,3.8992540866938468,6.615979690302948,3.8992540866938468,-0.11633848943581127,-0.01009887003125981,1.245521687639293,4.85660553059333,5.725732259908762,1.0,-2.6020852139652106e-17,1.0
normal_0_1797.mat,2,12000.0,0.75,True,0.9999999999999998,3.0714866148677347,5.766844148142759,3.0714866148677356,-0.18457978069835512,-0.062347815477942395,1.2447342363995477,3.823184546168822,4.507749445385333,0.9999999999999997,-3.9898639947466563e-17,0.9999999999999998
normal_0_1797.mat,3,12000.0,0.88,True,1.0,3.10423230469649,5.843993261204406,3.10423230469649,-0.15065664928791245,-0.10381923541383468,1.2518982535504342,3.8861830008643747,4.597309955614394,1.0,-8.673617379884035e-18,1.0
normal_0_1797.mat,4,12000.0,1.0,True,1.0,2.918202158630938,5.743570548433663,2.918202158630938,-0.22175974612149485,0.02596008257067962,1.248966329528486,3.644736238887388,4.3020038821992435,1.0000000000000002,6.938893903907228e-18,1.0
normal_0_1797.mat,5,12000.0,1.0,True,1.0,3.6017749230333895,6.489919545302737,3.6017749230333895,-0.17961564571480526,-0.021942586980997734,1.2446751046589053,4.483039579284405,5.280486216287769,1.0000000000000002,4.336808689942018e-19,1.0
normal_0_1797.mat,6,12000.0,0.88,True,0.9999999999999999,3.557495068583811,6.807359228369688,3.5574950685838114,-0.06903485417689215,-0.14753546467773299,1.2526198252191023,4.456188851027272,5.268366502527793,0.9999999999999999,-1.3010426069826053e-17,0.9999999999999999
normal_0_1797.mat,7,12000.0,0.88,True,0.9999999999999999,3.270656334858558,6.398861119482881,3.2706563348585584,0.019776821117020837,-0.1322863112954118,1.260998821060986,4.124293782352288,4.891738483848332,0.9999999999999999,1.734723475976807e-18,0.9999999999999999
normal_0_1797.mat,8,12000.0,1.0,True,1.0,3.011629267328108,6.009751208078983,3.011629267328108,-0.20560065019250118,-0.08345110709392912,1.2409098785678836,3.7371605084116073,4.3885523088193175,1.0,-2.168404344971009e-17,1.0
normal_0_1797.mat,9,12000.0,1.0,True,1.0,3.0740776644621923,5.9162963966017195,3.0740776644621923,-0.19814862824187296,-0.058479258863780366,1.2457857295289043,3.829642085850543,4.505641811482188,1.0,-6.288372600415926e-18,1.0
normal_0_1797.mat,10,12000.0,0.75,True,1.0,2.943817092210586,5.691396287113825,2.943817092210586,-0.10070909639474523,-0.14113279966423087,1.2565960113243209,3.699188816140183,4.3764151627679215,1.0,-1.734723475976807e-17,1.0
normal_0_1797.mat,11,12000.0,0.5,False,1.0,2.9330194771059928,5.67767271453984,2.9330194771059928,-0.23408650664804664,-0.16063967135103116,1.2468038718239907,3.6569000401909286,4.320580358946233,1.0,-4.163336342344337e-17,1.0
normal_0_1797.mat,12,12000.0,1.0,True,1.0,3.4974944960051597,6.391557905020457,3.4974944960051597,-0.1899383312643108,-0.10265323035996107,1.243722769701184,4.349913541586184,5.126125024001699,1.0,3.8163916471489756e-17,1.0
normal_0_1797.mat,13,12000.0,1.0,True,1.0,3.444555214199724,6.2834547080028464,3.444555214199724,-0.18765458612951935,-0.07432998210560982,1.2397012889833652,4.27021953901777,5.000514269506771,1.0,1.9081958235744878e-17,1.0
normal_0_1797.mat,14,12000.0,1.0,True,0.9999999999999999,2.906645455679747,5.686418561239705,2.9066454556797474,-0.29292266786107213,-0.04644471570872231,1.239925338694328,3.60402335109804,4.229696417932529,0.9999999999999999,-5.204170427930421e-18,0.9999999999999999
normal_0_1797.mat,15,12000.0,0.88,True,1.0,2.8919885422649756,5.653091625524416,2.8919885422649756,-0.3162647014701512,-0.10476614380934923,1.2411422240832783,3.58936909137011,4.225231932159953,1.0,-1.0408340855860843e-17,1.0
normal_0_1797.mat,16,12000.0,0.5,False,1.0,3.0328471574897415,5.682817342224308,3.0328471574897415,-0.3860566299415993,-0.05782197532282047,1.2313238317102093,3.7344169829516853,4.374698798662989,1.0,3.122502256758253e-17,1.0
normal_0_1797.mat,17,12000.0,1.0,True,1.0,3.1885063903802786,6.211248089279152,3.1885063903802786,-0.3273118234746146,-0.05884939826321827,1.230819782319206,3.924476741331252,4.582032695044606,1.0000000000000002,1.9949319973733282e-17,1.0
normal_0_1797.mat,18,12000.0,1.0,True,1.0,3.3663150766754395,6.175639255712509,3.3663150766754395,-0.2488979733863177,-0.09138705427011778,1.2389512921954529,4.17070041418407,4.901366064486751,1.0,2.0816681711721685e-17,1.0
normal_0_1797.mat,19,12000.0,1.0,True,0.9999999999999999,3.4301368607474454,6.277157800041212,3.430136860747446,-0.16604472863743114,-0.017295309971774947,1.2448755485319236,4.270093506062548,5.031106713890059,0.9999999999999999,3.0357660829594124e-17,0.9999999999999999
normal_0_1797.mat,20,12000.0,1.0,True,1.0,3.424777761554108,6.237676652839874,3.424777761554108,-0.17652053398837841,-0.06607348469674701,1.2411455105744449,4.2506475434680775,4.97873459127006,1.0,1.734723475976807e-18,1.0
normal_0_1797.mat,21,12000.0,0.75,True,1.0,2.9603470233091493,5.813190831024503,2.9603470233091493,-0.34676277856397464,-0.1187657550445193,1.2309374452558095,3.6440020019428045,4.249564384401091,1.0,5.204170427930421e-18,1.0
